,V11,V12,V21,V22,V23,V24,V31,V41,V42,V43,V51,V52,V71,V72,V74,V81,V82,V90,V95,checksum
'b01372058',0.0256733395977056,0,0.0458974064270354,0.0198825093870537,0.00921661129043437,0.00331964939401995,0.00182415479960004,0.405601846205858,0.125534599251258,0.107330748621736,0,0.0219105341181638,0.00624372502622584,0,0,0.107936743292632,0.0523497391453372,0.0603129203117446,0.00696547313119473,0.99999999999999900
'b01463500',0.020780223961433,0,0.0715217501391061,0.0237264516200386,0.00969070293131219,0.00343204288322939,0.00285585414770124,0.543871065622485,0.0406583001106141,0.0768051955193786,0,0.0114733396350723,0.00385528789237145,0,0,0.0849964662165127,0.0607817416219787,0.0423262930234875,0.00322528467527927,0.99999999999999900
'b01578310',0.0113777124592356,0,0.0514890575362192,0.0198378269874545,0.00796304836758566,0.00309519575508243,0.00345698287419143,0.463387565451608,0.0473114370908407,0.100421137288042,0,0.0179494603194665,0.00543320589951015,0,0,0.149603731408637,0.101264678862829,0.0134867523423671,0.00392220735693055,0.99999999999999900
'b01646580',0.00732561093609726,0,0.0647312591601263,0.0282208093108465,0.00978187183929516,0.00318355078026605,0.00284189674511829,0.520305164136143,0.0371181548137998,0.0238400893508705,0,0.00291041956003553,0.00209150591906316,0,0,0.226961873593767,0.0654501486921083,0.004537776411855,0.000699868750608275,0.99999999999999900
'b02226160',0.0126465639466515,0,0.0663288778525715,0.031388350694639,0.0098841404235652,0.00427885261323497,0.00517345440004946,0.168035313150649,0.221614871738729,0.0335663102454465,0,0.0686124990317429,0.0873381779230988,0,0,0.0937882169058359,0.0599306844940083,0.127497872297454,0.00991581428232418,0.99999999999999900
'b02359170',0.0191012796396146,0,0.059132132867537,0.0299920320509486,0.0101222390298029,0.00517340583227865,0.00213326846281431,0.192822615249918,0.232261705588978,0.0333222807838786,0,0.0683495617989216,0.056036732750799,0,0,0.078608007247005,0.121313830279073,0.0856019413478042,0.00602896707062651,0.99999999999999900
'b02470500',0.0183905841953607,0,0.0518966029023559,0.0174386978768937,0.00593896124314257,0.00225868139486087,0.00297557371953222,0.264369954929087,0.185104665062405,0.0812315918058591,0,0.10048611400824,0.0394634133969651,0,0,0.115947962639233,0.0363293704505714,0.073644759926829,0.0045230664486652,0.99999999999999900
'b03303280',0.0103072944986201,0,0.0606403958365539,0.0258803823440841,0.0107232639343413,0.00407890435969516,0.00515467198200257,0.53895861347421,0.0197835109732969,0.0165431225040127,0,0.0062456899319732,0.0245164721350022,0,0,0.146531015638433,0.125324358062868,0.00442615367224991,0.000886150652656214,0.99999999999999911
'b03374100',0.0107620914289222,0,0.0661436180108941,0.0326738565731071,0.0141299154069551,0.00583272318466907,0.000869310135178463,0.293900753308914,0.0046933898108384,0.000195143102944946,0,0.00264704505992823,0.0163432271900496,0,0,0.0762803665912673,0.473416799028138,0.000898592354845687,0.00121316881334834,0.99999999999999911
'b03378500',0.0109493820421995,0,0.0595348220241595,0.0263757486622658,0.00883775684048219,0.00368394225187117,0.000764214556773582,0.194560416956506,0.00288124718866993,0.0000905863138985707,0,0.00188116906553393,0.0118849148967729,0,0,0.0541856403035314,0.61872308232248,0.00407853049574798,0.00156854607910795,0.99999999999999911
'b03609750',0.0254000906730941,0,0.0587513152160417,0.0208742659931625,0.00704733487692948,0.00254561253828112,0.00248470562003993,0.487091363774973,0.0503005859464569,0.0393056756193254,0,0.0326948043923831,0.0332471489948444,0,0,0.187864323704084,0.0390057890288178,0.0125157033867748,0.000871280234791815,0.99999999999999911
'b03612500',0.0146817510273065,0,0.0587676725975021,0.0234580855655673,0.0088279946482632,0.00340042436126775,0.003462082596515,0.457792519953041,0.024404271471548,0.0195914894394269,0,0.0108421244044516,0.0258766196009089,0,0,0.149062773059499,0.191929251101243,0.00659751140227121,0.00130542877118867,0.99999999999999911
'b04264331',0.213927291063007,0,0.020338248988222,0.0130166164957017,0.00547680476236652,0.00227966291719658,0.00159478312910452,0.0935232517525636,0.0188598168285687,0.0151906218779945,0,0.00946275503790288,0.00937968875608102,0,0,0.0359473504953503,0.0862603747415193,0.0560242025997034,0.00723648453051884,0.99999999999999911
'b05420500',0.0452896586344751,0,0.0437362406703541,0.0149496451794837,0.00586437227880286,0.00216166712260271,0.000824926299814622,0.232145593103452,0.0180755128202911,0.0176625757005306,0,0.0150938089843076,0.0338466125716906,0,0,0.105124265112275,0.357162547146885,0.0672993440423324,0.040763230332703,0.99999999999999911
'b05586100',0.0148226750978236,0,0.0497149261343813,0.066315594588471,0.0267046045132649,0.0112172671498584,0.00143750993174248,0.0993652975691883,0.000584804940187293,0.00181084975949633,0,0.0014556752936868,0.00946813537868716,0,0,0.046227436889811,0.651448708434958,0.015431084598589,0.0039954297198542,0.99999999999999911
'b05587455',0.0295853451401687,0,0.0461902031966036,0.0261573616768512,0.00962078998306047,0.00361912483939761,0.000886433342134642,0.163704473626072,0.00927085435698422,0.00943547697243632,0,0.00868968392208017,0.0278778032916787,0,0,0.104333090541854,0.49412491897605,0.0421027582130091,0.0244016819216191,0.99999999999999911
'b06338490',0.0104144366186772,0.000151005197592331,0.0101873688037763,0.00244964584899956,0.000571238094325818,0.000117039066201733,0.00636894549457393,0.004495475124384,0.106904779084061,0.000743034099265946,0,0.197361839432157,0.427526604736073,0,0,0.0146047506433811,0.142768723879399,0.0107608239182166,0.00563125606598268,0.99999999999999911
'b06440000',0.0129114686833049,0.000113762704781369,0.0117478256677468,0.00258542288748656,0.000626837234836698,0.000138496684348833,0.00649178989739433,0.00432463808019591,0.0921797884875199,0.000666240284537247,0,0.167021766298481,0.472841135455018,0,0,0.0217953385515037,0.145859263991951,0.0102133943403822,0.00608937438742561,0.99999999999999911
'b06467500',0.0140915449858552,0.000097630294666386,0.0129362173180065,0.00268815823000924,0.000610505443164001,0.000139070983624578,0.00704546913495012,0.00505905001656552,0.0808339577358458,0.000836621517273097,0,0.14395900812171,0.501405491699661,0,0,0.0253343782888426,0.149732847859284,0.00972497420297842,0.00735861413702854,0.99999999999999922
'b06610000',0.0167464691197611,0.0000851980786320405,0.0168272450665733,0.00316004759856159,0.000845240339435689,0.000223093408672015,0.00619162804278839,0.00593037235150501,0.0704573463735725,0.00080013286155304,0,0.125563549215435,0.452892844833308,0,0,0.0433782065927839,0.205465671080056,0.0086742704793591,0.00952163196874662,0.99999999999999922
'b06805500',0.00803524084647233,0.00134159626598851,0.0219894284663588,0.00874222307731193,0.00382997359886976,0.00128096147138936,0.00378608741950928,0.00832193916876871,0.0656252993443213,0.000742744659583234,0,0.160041671988796,0.465123764892497,0,0,0.012748963622904,0.213434407729365,0.0123394394061256,0.012616258041739,0.99999999999999922
'b06934500',0.0140598910404344,0.000275213808983615,0.0225384974650167,0.00628281057503983,0.00190091521927135,0.000629800298386879,0.00461519130159241,0.0295746233844509,0.0549284877630569,0.00120733649058004,0,0.104425496138258,0.405690080636775,0,0,0.0653361830945625,0.249685140971005,0.00975143234688363,0.00858520401930079,0.99999999999999922
'b07022000',0.0180136237767424,0.000201012893917058,0.0290550282031091,0.0119435603878156,0.00404197476179271,0.00146888682805194,0.00363421974005755,0.0704290795032986,0.0427381226477076,0.00347755594022562,0,0.0785496538554014,0.303933366372845,0,0,0.0776487219177951,0.309871869213512,0.0177339309041868,0.0122490301653533,0.99999999999999922
'b07263620',0.0104911732449536,0.0000439517947386322,0.033042075177672,0.00895419871550257,0.00330720995338671,0.00134415325468519,0.00282647190294378,0.0850873608669394,0.0511365804038854,0.00581368368786473,0,0.0712485733249633,0.418813708716246,0,0,0.0857433725455805,0.214105950516086,0.00575629831974549,0.00228523757480668,0.99999999999999922
'b07288955',0.0314054491807697,0,0.0466191010901972,0.00940373807200979,0.00289169581290721,0.000836263151059283,0.000857491250317227,0.143664596444923,0.0544750214869943,0.0242257289676344,0,0.0686205281246361,0.00995657252555578,0,0,0.0714709040363113,0.417126262332667,0.111132250257804,0.00731439726621335,0.99999999999999922
'b07373420',0.0169869510860124,0.000130941849633481,0.0358711003998769,0.0135822232353362,0.00481163739904023,0.00180645263193795,0.00337306250786926,0.153880768006033,0.0408579545572115,0.00869640554613526,0,0.0625180523880796,0.251642680174549,0,0,0.0939086642941279,0.275526461954227,0.0186779318644725,0.00841723301158289,0.99999999999999922
'b07374000',0.0169989446182454,0.000130857647780443,0.035873202517013,0.0135836248564529,0.00481513063274719,0.00180925420178765,0.00337646385305078,0.153934656987218,0.0408867048004756,0.00875987659574965,0,0.0625680110148383,0.251493990219338,0,0,0.0938997515024952,0.275384676324804,0.0187624807766169,0.00841688208257089,0.99999999999999922
'b07374525',0.017061874491699,0.000130844496338528,0.0358717610113229,0.0135861402973925,0.00481541366848194,0.00181000977058549,0.00337711104376742,0.153919218105257,0.0408826007646181,0.00875902926777257,0,0.0625619260007563,0.251468856222381,0,0,0.0938913816003922,0.275359526170376,0.0187808331143612,0.00841891782522282,0.99999999999999922
'b07381495',0.0184416918671767,0,0.0353688808518481,0.01384573792272,0.00296283387844102,0.00110828559466081,0.00289220365540353,0.0992957668566504,0.144866226679226,0.0314428256236366,0,0.135060336290674,0.207065353953878,0,0,0.0738863271864368,0.165910670690969,0.0632293994615541,0.00462345948672623,0.99999999999999922
'b07381590',0.140027575996875,0,0.0318125509313533,0.0462314523472967,0.00615994413211299,0.00324444237160626,0.00336452200503365,0.0121093521668511,0.040431658951271,0.0173852739168963,0,0.0362972871965399,0.00964622089027675,0,0,0.0968126615774179,0.292302833782368,0.172031443231119,0.092142780502982,0.99999999999999933
'b07381600',0.0253340259873278,0,0.0348083067379385,0.0152028675207875,0.00307018665702779,0.00120516802840193,0.00326362396446517,0.0936492488460932,0.137400969648282,0.0302057174230287,0,0.128171720471806,0.194557317054941,0,0,0.0738979454817333,0.170025426434309,0.0796219852814742,0.00958549046238419,0.99999999999999933
'b08012150',0.00490849513164355,0,0.0192572557271858,0.0581462271023924,0.00526206783915235,0.00130331178091679,0.00165034150593788,0.00724157169485644,0.0667326333516453,0.0176200001862233,0,0.0726711449187575,0.0152597450803692,0,0,0.108969346882005,0.453143815006733,0.161503456582152,0.00633058721002949,0.99999999999999933
'b08116650',0.00901176224089938,0,0.0517191490111856,0.00930255803895749,0.00452122200281317,0.00171045864999439,0.00272202342581047,0.0530037891443846,0.0446965904005221,0.00696528853361089,0,0.185309679697373,0.302657995709205,0,0,0.0852837371558558,0.225684693802568,0.0152971015510711,0.00211395063574912,0.99999999999999933
'b08475000',0.0011540948423128,0.00000197707704654677,0.00528440309987546,0.00255686420100601,0.00109313253786936,0.000289615070061717,0.00850672293634123,0.00397507613446818,0.0613365889309982,0.00078513599472624,0,0.377702235227284,0.11180308196032,0,0,0.00520935837194814,0.00492737310290471,0.0027981145582886,0.00120719579617395,0.99999999999999933
'b09522000',0.00409716431798482,0.00047753161912266,0.00780204403458318,0.00510561134045363,0.00309328883504896,0.000805672869915898,0.0328950855697622,0.0334970867112801,0.189701571515776,0.00348352163193661,0,0.615050516036489,0.0725716941258562,0,0,0.0118685050195944,0.00822599760741162,0.00515805075577857,0.00180673226181192,0.99999999999999933
'b11303500',0.0162609923609355,0.000109059903161806,0.0243354451826666,0.011258756065393,0.00948660357997409,0.00226367875322492,0.041615480793137,0.0128670822262011,0.232319112492642,0.0161015643758711,0,0.184388561990316,0.216427864417447,0,0,0.0418844889150729,0.16986600151161,0.00297800693074266,0.0178373005016046,0.99999999999999933
'b11447650',0.0131673397840151,0.0000932346414528452,0.0243174793157613,0.00914335541685754,0.00797760874750135,0.00224227051487799,0.0097461054842816,0.0181583910236354,0.410889135054018,0.012486468686239,0,0.203764855961232,0.1622567381504,0,0,0.0176928305303347,0.0960567873805082,0.0032304468422276,0.00877695246665731,0.99999999999999933
'b14246900',0.00976985542142797,0.000373091097112564,0.0116593030981282,0.00631012440141762,0.00262298387087515,0.000670534425904503,0.00833062176808468,0.00363984362752645,0.305339686333803,0.00317170782705421,0,0.327916336802452,0.0843675033491965,0,0,0.0178536693522831,0.0872431984723131,0.00471097667084642,0.00396037456948368,0.99999999999999933
'b15565447',0.0118358705159777,0.00722669406726356,0.000115874193363786,0.000370523312697002,0.0000163088745186989,0.00000831047693927544,0.0335297474984231,0.0410922509599397,0.148786399097884,0.033962851452263,0.0416912763793099,0.204455995895847,0.0169779693926618,0.00319165307219149,0.000103600526791705,0.0000170617932540061,0.000258199840441462,0.0426866775036624,0.0101547131898805,0.99999999999999933
'b32202309',0.0256733395977056,0,0.0458974064270354,0.0198825093870537,0.00921661129043437,0.00331964939401995,0.00182415479960004,0.405601846205858,0.125534599251258,0.107330748621736,0,0.0219105341181638,0.00624372502622584,0,0,0.107936743292632,0.0523497391453372,0.0603129203117446,0.00696547313119473,0.99999999999999933
