processing_index,year,day,'b01372058','b01463500','b01578310','b01646580','b02226160','b02359170','b02470500','b03303280','b03374100','b03378500','b03609750','b03612500','b04264331','b05420500','b05586100','b05587455','b06338490','b06440000','b06467500','b06610000','b06805500','b06934500','b07022000','b07263620','b07288955','b07373420','b07374000','b07374525','b07381495','b07381590','b07381600','b08012150','b08116650','b08475000','b09522000','b11303500','b11447650','b14246900','b15565447','b32202309'
"1","2009","1","261.007331801645","262.945439480165","265.167612300976","269.652024236324","275.928578690586","268.828866699","275.534814814564","269.488433928543","270.413738362758","269.978866912205","268.828866699","270.679275656846","266.639632096992","260.301547688262","267.801670551511","263.538000549047","265.649895503273","266.054405582085","266.282096113545","265.875018582521","269.854702120432","268.828866699","266.767586885675","273.954900203674","275.54171822367","268.979825859169","268.983376988397","268.990725447323","276.265374644739","281.612949573626","276.613408365197","279.211472106004","279.840495614577","281.641436439575","271.133539566112","274.996782631702","273.905761498964","268.840920547114","242.478494878634","268.828866699"
"2","2009","2","264.14012068931","266.160207567513","268.300434947501","271.440286788597","278.889632193636","270.244388085512","279.08011600166","272.197468047985","272.673123019071","272.130620373301","270.244388085512","273.605647720009","269.50580744342","260.712647799812","270.446888991045","264.875790404883","265.873542965489","265.438804346496","265.752137637211","265.201104039982","272.119100654017","270.244388085512","267.42618454594","275.892689254884","282.162696936928","270.512107597656","270.521951922426","270.531625199238","282.603913617105","291.141092625364","283.160909520641","290.51335525969","284.796262216577","282.290543819042","272.236420731995","276.871940713556","277.300907046713","270.991896886349","243.733543445623","270.244388085512"
"3","2009","3","268.535101886225","269.500174657038","270.229398925282","272.527397853397","287.529510978281","270.677604556091","286.928806594202","272.736667964258","272.67036430281","272.064708419622","270.677604556091","275.620671240848","268.740994184584","261.780546447811","270.766143005357","265.614652533946","259.388244404696","260.416375292399","261.335414402336","261.566651802935","271.39123757112","270.677604556091","266.217646242735","279.256667567471","289.049985706944","271.056031350159","271.069932670065","271.077620616059","286.8957720273","292.302337105538","287.253051808108","291.976767052011","288.007517101001","284.235557468114","273.243617098845","274.580831115421","272.958081164986","262.499093812548","241.222124658782","270.677604556091"
"4","2009","4","265.295204512821","267.208972220688","267.880917346497","271.838705382039","290.00121076331","268.646458763552","289.814355447189","276.669772297795","278.334935491569","277.198089731157","268.646458763552","280.699613847379","269.117167584266","263.473845843417","273.784697227432","267.246156940983","253.97102801768","254.838034895035","255.641799838367","255.95674708929","262.915747929138","268.646458763552","262.598412521502","273.945061260492","289.975388734559","269.093735681657","269.098320625901","269.115280519811","284.00163389689","293.327260361217","284.611422766506","293.119623493157","283.509057081679","282.181335768785","269.559340040429","271.041484435437","269.826830900098","260.190876973235","240.498520708014","268.646458763552"
"5","2009","5","270.75269278093","272.498159167143","273.007414114284","276.981873510357","289.786254999592","266.772597791334","289.519059293659","277.223614958891","273.703989477805","272.571717664732","266.772597791334","278.332396796983","268.652752296288","254.632851799364","268.432698017299","260.321077747484","258.757375729331","258.971654569132","259.313321856405","259.036568036851","261.811246184074","266.772597791334","261.758404410857","270.890182431742","282.496312528126","267.14422601556","267.143107376435","267.166613101748","276.827439311723","292.046616546831","277.830894762145","291.575826738329","274.851985813676","281.432853807867","267.70957184562","272.404833086844","272.590787361721","264.961356685053","242.004155715683","266.772597791334"
"6","2009","6","267.706977549729","269.464109981227","269.093675576889","274.64177896606","291.336949767733","269.22698967317","289.960919475776","274.619384402936","272.903984345132","271.697912113015","269.22698967317","277.13955108461","267.42091762218","259.09271331387","267.906327385633","263.013954856147","264.85965724203","264.917954726249","264.990878857674","264.498171073309","266.536469547171","269.22698967317","265.631571139991","272.03102081141","281.851880880086","269.530878048352","269.533358999231","269.549929985924","277.642083497096","291.273106655877","278.567030280914","289.96851324134","278.26409177706","280.035846955812","269.657592782805","275.625476641837","274.574315198285","269.418428504163","241.004220531422","269.22698967317"
"7","2009","7","269.305238607917","271.441748742994","271.339656736664","273.305742643092","289.919987027565","270.50577484418","286.586667610837","276.637565605866","274.077775523333","273.344281204024","270.50577484418","277.81515295478","270.391766574599","259.743986170122","270.948876915482","264.147667272618","267.504211481368","266.628800601596","266.526415709571","265.651944280968","269.535194658619","270.50577484418","267.054076189083","273.660475915137","281.947178855446","270.755147392262","270.755880106877","270.772092228195","278.600688565208","286.651420430242","279.135587881834","284.504579312271","279.294379444211","278.235185312987","271.181267303518","276.094448447374","275.90451571201","273.270821566594","238.221738610144","270.50577484418"
"8","2009","8","270.451087395514","270.980377609028","270.93425356069","273.434633235031","280.528184804757","270.295535248508","280.014813182566","271.862525619419","270.921511330806","270.355152158673","270.295535248508","273.092530666385","268.751168894008","259.335482882141","267.642952056399","262.503490415589","269.530674108568","268.372637849745","268.10325445032","266.546463394401","272.006679995422","270.295535248508","267.376682474044","277.126051128529","279.929043180633","270.508028093806","270.512470822647","270.525002751927","280.852039245329","286.284876371815","281.195818439072","284.486890281782","282.916272401521","281.124635326117","272.686124064222","277.242689579428","276.466388331393","273.845868292812","237.06197797491","270.295535248508"
"9","2009","9","264.236252008111","267.254967742048","268.279500502401","271.325214234089","278.877795358909","271.013028711981","278.779131020643","270.216766125676","269.993149227943","269.718533164602","271.013028711981","271.710753702663","266.49722571251","259.096733467955","268.764756991111","263.617848727541","267.682980226837","267.611404506159","267.917788336018","267.40825564078","272.834037346898","271.013028711981","268.576698299591","278.657337890973","279.362832802492","271.204881087266","271.212567007563","271.223297564162","282.275730895882","288.032304816063","282.649520705173","286.807463732063","285.230343350259","282.304384393079","272.949681999292","276.644661459414","274.704888504716","269.693910747965","237.487060279458","271.013028711981"
"10","2009","10","261.111042454642","266.217095128431","267.962955177491","273.250368962987","279.826491123427","270.285017588162","283.259439335533","273.134646721657","273.959548505373","273.174805304983","270.285017588162","275.32736055996","266.812352858049","260.411085161434","271.380725431299","264.731105685307","264.901704039753","264.617666936427","264.730737723298","264.324034207389","268.08795610437","270.285017588162","266.4746208732","276.420634425876","286.840865776256","270.641298615726","270.642652046052","270.662652174994","284.575833342114","292.207918108497","285.083258655684","291.490189143114","284.662973146251","282.282650251014","270.178977987057","274.777223359172","274.554207655392","268.52109508282","239.129473465887","270.285017588162"
